food_no,category,food,measure,weight_g,water_pct,calories,protein_g,total_fat_g,sat_fat_g,mono_fat_g,poly_fat_g,cholesterol_mg,carbohydrate_g,fiber_g,calcium_mg,iron_mg,potassium_mg,sodium_mg,vit_a_iu,vit_a_re,thiamin_mg,riboflavin_mg,niacin_mg,vit_c_mg
994,Marshmallows,STARBURST fruit chews (M&M MARS),1 piece,5,7,20,Tr,Tr,0.1,0.2,0.2,0,4,0.0,Tr,Tr,Tr,3,0,0,Tr,Tr,Tr,3
995,,,,,,,,,,,,0,50,0.0,2,0.1,1,33,0,0,Tr,Tr,Tr,31
996,"Frosting, ready to eat",Chocolate x,package,38,17,151,Tr,7,2.1,3.4,0.8,0,24,0.2,3,0.5,74,70,249,75,Tr,0.01,Tr,0
997,"Frosting, ready to eat",Vanilla x,package,38,13,159,Tr,6,1.9,3.3,0.9,0,26,Tr,1,Tr,14,34,283,86,0.00,Tr,Tr,0
998,Frozen desserts (nondairy),Fruit and juice bar,1 bar (2.5 fl oz),77,78,63,1,Tr,0.0,0.0,Tr,0,16,0.0,4,0.1,41,3,22,2,0.01,0.01,0.1,7
999,Frozen desserts (nondairy),Ice pop,1 bar (2 fl oz),59,80,42,0,0,0.0,0.0,0.0,0,11,0.0,0,0.0,2,7,0,0,0.00,0.00,0.0,0
1000,Frozen desserts (nondairy),Italian ices,cup,116,86,61,Tr,Tr,0.0,0.0,0.0,0,16,0.0,1,0.1,7,5,194,0,0.01,0.01,0.8,1
1001,Frozen desserts (nondairy),"Fruit butter, apple",1 tbsp,17,56,29,Tr,0,0.0,0.0,0.0,0,7,0.3,2,0.1,15,1,20,2,Tr,Tr,Tr,Tr
1002,"Gelatin dessert, prepared with",Regular,cup,135,85,80,2,0,0.0,0.0,0.0,0,19,0.0,3,Tr,1,57,0,0,0.00,Tr,Tr,0
1003,"Gelatin dessert, prepared with",Reduced calorie (with aspartame),cup,117,98,8,1,0,0.0,0.0,0.0,0,1,0.0,2,Tr,0,56,0,0,0.00,Tr,Tr,0
1004,Mono- Poly-,"Honey, strained or extracted",1 tbsp,21,17,64,Tr,0,0.0,0.0,0.0,0,17,Tr,1,0.1,11,1,0,0,0.00,0.01,Tr,Tr
1005,Mono- Poly-,,1 cup,339,17,1031,1,0,0.0,0.0,0.0,0,279,0.7,20,1.4,176,14,0,0,0.00,0.13,0.4,2
1006,Mono- Poly-,Jams and preserves,1 tbsp,20,30,56,Tr,Tr,Tr,Tr,0.0,0,14,0.2,4,0.1,15,6,2,Tr,0.00,Tr,Tr,2
1007,,,,,,,,,,,,0,10,0.2,3,0.1,11,4,2,Tr,0.00,Tr,Tr,1
1008,Mono- Poly-,Jellies,1 tbsp,19,29,54,Tr,Tr,Tr,Tr,Tr,0,13,0.2,2,Tr,12,5,3,Tr,Tr,Tr,Tr,Tr
1009,,,,,,,,,,,,0,10,0.1,1,Tr,9,4,2,Tr,Tr,Tr,Tr,Tr
1010,Chocolate,Instant,cup,147,75,150,5,3,1.6,0.9,0.2,9,28,0.6,153,0.4,247,417,253,56,0.05,0.21,0.1,1
1011,Chocolate,Regular (cooked),cup,142,74,151,5,3,1.8,0.8,0.1,10,28,0.4,160,0.5,240,149,253,68,0.05,0.21,0.2,1
1012,Vanilla,Instant,cup,142,75,148,4,2,1.4,0.7,0.1,9,28,0.0,146,0.1,185,406,241,64,0.05,0.20,0.1,1
1013,Vanilla,Regular (cooked),cup,140,76,141,4,2,1.5,0.7,0.1,10,26,0.0,153,0.1,193,224,252,70,0.04,0.20,0.1,1
1014,Regular,Chocolate,4 oz,113,69,150,3,5,0.8,1.9,1.6,3,26,1.1,102,0.6,203,146,41,12,0.03,0.18,0.4,2
1015,Regular,Rice,4 oz,113,68,184,2,8,1.3,3.6,3.2,1,25,0.1,59,0.3,68,96,129,40,0.02,0.08,0.2,1
1016,Regular,Tapioca,4 oz,113,74,134,2,4,0.7,1.8,1.5,1,22,0.1,95,0.3,110,180,0,0,0.02,0.11,0.4,1
1017,Regular,Vanilla,4 oz,113,71,147,3,4,0.6,1.7,1.5,8,25,0.1,99,0.1,128,153,24,7,0.02,0.16,0.3,0
1018,Fat free,Chocolate,4 oz,113,76,107,3,Tr,0.3,0.1,Tr,2,23,0.9,89,0.6,235,192,174,52,0.02,0.12,0.1,Tr
1019,Fat free,Tapioca,4 oz,113,77,98,2,Tr,0.1,Tr,Tr,1,23,0.1,76,0.2,99,251,121,36,0.02,0.09,0.1,Tr
1020,Fat free,Vanilla,4 oz,113,76,105,2,Tr,0.1,Tr,Tr,1,24,0.1,86,Tr,123,241,174,52,0.02,0.10,0.1,Tr
1021,Brown,Packed,1 cup,220,2,827,0,0,0.0,0.0,0.0,0,214,0.0,187,4.2,761,86,0,0,0.02,0.02,0.2,0
1022,Brown,Unpacked,1 cup,145,2,545,0,0,0.0,0.0,0.0,0,141,0.0,123,2.8,502,57,0,0,0.01,0.01,0.1,0
1023,Brown,,1 tbsp,9,2,34,0,0,0.0,0.0,0.0,0,9,0.0,8,0.2,31,4,0,0,Tr,Tr,Tr,0
1024,White,Granulated,1 packet,6,0,23,0,0,0.0,0.0,0.0,0,6,0.0,Tr,Tr,Tr,Tr,0,0,0.00,Tr,0.0,0
1025,White,,1 tsp,4,0,16,0,0,0.0,0.0,0.0,0,4,0.0,Tr,Tr,Tr,Tr,0,0,0.00,Tr,0.0,0
1026,White,,1 cup,200,0,774,0,0,0.0,0.0,0.0,0,200,0.0,2,0.1,4,2,0,0,0.00,0.04,0.0,0
1027,White,"Powdered, unsifted",1 tbsp,8,Tr,31,0,Tr,Tr,Tr,Tr,0,8,0.0,Tr,Tr,Tr,Tr,0,0,0.00,0.00,0.0,0
1028,White,,1 cup,120,Tr,467,0,Tr,Tr,Tr,0.1,0,119,0.0,1,0.1,2,1,0,0,0.00,0.00,0.0,0
1029,Chocolate flavored syrup or,Thin type,1 tbsp,19,31,53,Tr,Tr,0.1,0.1,Tr,0,12,0.3,3,0.4,43,14,6,1,Tr,0.01,0.1,Tr
1030,Chocolate flavored syrup or,Fudge type,1 tbsp,19,22,67,1,2,0.8,0.7,0.1,Tr,12,0.5,15,0.2,69,66,3,1,0.01,0.04,0.1,Tr
1031,Chocolate flavored syrup or,"Corn, light",1 tbsp,20,23,56,0,0,0.0,0.0,0.0,0,15,0.0,1,Tr,1,24,0,0,Tr,Tr,Tr,0
1032,Chocolate flavored syrup or,Maple,1 tbsp,20,32,52,0,Tr,Tr,Tr,Tr,0,13,0.0,13,0.2,41,2,0,0,Tr,Tr,Tr,0
1033,Chocolate flavored syrup or,"Molasses, blackstrap",1 tbsp,20,29,47,0,0,0.0,0.0,0.0,0,12,0.0,172,3.5,498,11,0,0,0.01,0.01,0.2,0
1034,Chocolate flavored syrup or,,1 cup,328,29,771,0,0,0.0,0.0,0.0,0,199,0.0,2821,57.4,8174,180,0,0,0.11,0.17,3.5,0
1035,"Table blend, pancake",Regular,1 tbsp,20,24,57,0,0,0.0,0.0,0.0,0,15,0.0,Tr,Tr,Tr,17,0,0,Tr,Tr,Tr,0
1036,"Table blend, pancake",Reduced calorie,1 tbsp,15,55,25,0,0,0.0,0.0,0.0,0,7,0.0,Tr,Tr,Tr,30,0,0,Tr,Tr,Tr,0
1037,Vegetables and Vegetable Products,"Alfalfa sprouts, raw",1 cup,33,91,10,1,Tr,Tr,Tr,0.1,0,1,0.8,11,0.3,26,2,51,5,0.03,0.04,0.2,3
1038,Vegetables and Vegetable Products,"Artichokes, globe or French, cooked, drained",1 cup,168,84,84,6,Tr,0.1,Tr,0.1,0,19,9.1,76,2.2,595,160,297,30,0.11,0.11,1.7,17
1039,Vegetables and Vegetable Products,,1 medium,120,84,60,4,Tr,Tr,Tr,0.1,0,13,6.5,54,1.5,425,114,212,22,0.08,0.08,1.2,12
1040,"Cooked, drained",From raw,1 cup,180,92,43,5,1,0.1,Tr,0.2,0,8,2.9,36,1.3,288,20,970,97,0.22,0.23,1.9,19
1041,"Cooked, drained",,4 spears,60,92,14,2,Tr,Tr,Tr,0.1,0,3,1.0,12,0.4,96,7,323,32,0.07,0.08,0.6,6
1042,"Cooked, drained",From frozen,1 cup,180,91,50,5,1,0.2,Tr,0.3,0,9,2.9,41,1.2,392,7,1472,148,0.12,0.19,1.9,44
