food_no,category,food,measure,weight_g,water_pct,calories,protein_g,total_fat_g,sat_fat_g,mono_fat_g,poly_fat_g,cholesterol_mg,carbohydrate_g,fiber_g,calcium_mg,iron_mg,potassium_mg,sodium_mg,vit_a_iu,vit_a_re,thiamin_mg,riboflavin_mg,niacin_mg,vit_c_mg
1117,"Kale, cooked, drained, chopped",From frozen,1 cup,130,91,39,4,1,0.1,Tr,0.3,0,7,2.6,179,1.2,417,20,8260,826,0.06,0.15,0.9,33
1118,"Kale, cooked, drained, chopped","Kohlrabi, cooked, drained, slices",1 cup,165,90,48,3,Tr,Tr,Tr,0.1,0,11,1.8,41,0.7,561,35,58,7,0.07,0.03,0.6,89
1119,"Kale, cooked, drained, chopped","Leeks, bulb and lower diced, cooked, drained",1 cup,104,91,32,1,Tr,Tr,Tr,0.1,0,8,1.0,31,1.1,90,10,48,5,0.03,0.02,0.2,4
1120,"Butterhead, as Boston types",Leaf,1 medium leaf,8,96,1,Tr,Tr,Tr,Tr,Tr,0,Tr,0.1,2,Tr,19,Tr,73,7,Tr,Tr,Tr,1
1121,"Butterhead, as Boston types","Head, 5"" dia",1 head,163,96,21,2,Tr,Tr,Tr,0.2,0,4,1.6,52,0.5,419,8,1581,158,0.10,0.10,0.5,13
1122,"Crisphead, as iceberg",Leaf,1 medium,8,96,1,Tr,Tr,Tr,Tr,Tr,0,Tr,0.1,2,Tr,13,1,26,3,Tr,Tr,Tr,Tr
1123,"Crisphead, as iceberg","Head, 6"" dia",1 head,539,96,65,5,1,0.1,Tr,0.5,0,11,7.5,102,2.7,852,49,1779,178,0.25,0.16,1.0,21
1124,"Crisphead, as iceberg","Pieces, shredded or chopped",1 cup,55,96,7,1,Tr,Tr,Tr,0.1,0,1,0.8,10,0.3,87,5,182,18,0.03,0.02,0.1,2
1125,Looseleaf,Leaf,1 leaf,10,94,2,Tr,Tr,Tr,Tr,Tr,0,Tr,0.2,7,0.1,26,1,190,19,0.01,0.01,Tr,2
1126,Looseleaf,"Pieces, shredded",1 cup,56,94,10,1,Tr,Tr,Tr,0.1,0,2,1.1,38,0.8,148,5,1064,106,0.03,0.04,0.2,10
1127,Romaine or cos,Innerleaf,1 leaf,10,95,1,Tr,Tr,Tr,Tr,Tr,0,Tr,0.2,4,0.1,29,1,260,26,0.01,0.01,0.1,2
1128,Romaine or cos,"Pieces, shredded",1 cup,56,95,8,1,Tr,Tr,Tr,0.1,0,1,1.0,20,0.6,162,4,1456,146,0.06,0.06,0.3,13
1129,Mushrooms,"Raw, pieces or slices",1 cup,70,92,18,2,Tr,Tr,Tr,0.1,0,3,0.8,4,0.7,259,3,0,0,0.06,0.30,2.8,2
1130,Mushrooms,"Cooked, drained, pieces",1 cup,156,91,42,3,1,0.1,Tr,0.3,0,8,3.4,9,2.7,555,3,0,0,0.11,0.47,7.0,6
1131,Mushrooms,"Canned, drained, pieces",1 cup,156,91,37,3,Tr,0.1,Tr,0.2,0,8,3.7,17,1.2,201,663,0,0,0.13,0.03,2.5,0
1132,"Mushrooms, shiitake",Cooked pieces,1 cup,145,83,80,2,Tr,0.1,0.1,Tr,0,21,3.0,4,0.6,170,6,0,0,0.05,0.25,2.2,Tr
1133,"Mushrooms, shiitake",Dried 1 mushroom,,4,10,11,Tr,Tr,Tr,Tr,Tr,0,3,0.4,Tr,0.1,55,Tr,0,0,0.01,0.05,0.5,Tr
1134,"Mushrooms, shiitake","Mustard greens, cooked, drained",1 cup,140,94,21,3,Tr,Tr,0.2,0.1,0,3,2.8,104,1.0,283,22,4243,424,0.06,0.09,0.6,35
1135,"Okra, sliced, cooked, drained",From raw,1 cup,160,90,51,3,Tr,0.1,Tr,0.1,0,12,4.0,101,0.7,515,8,920,93,0.21,0.09,1.4,26
1136,"Okra, sliced, cooked, drained",From frozen,1 cup,184,91,52,4,1,0.1,0.1,0.1,0,11,5.2,177,1.2,431,6,946,94,0.18,0.23,1.4,22
1137,Raw,Chopped,1 cup,160,90,61,2,Tr,Tr,Tr,0.1,0,14,2.9,32,0.4,251,5,0,0,0.07,0.03,0.2,10
1138,Raw,Whole,"medium, 2"" dia 1 whole",110,90,42,1,Tr,Tr,Tr,0.1,0,9,2.0,22,0.2,173,3,0,0,0.05,0.02,0.2,7
1139,Raw,"Slice,"" thick",1 slice,14,90,5,Tr,Tr,Tr,Tr,Tr,0,1,0.3,3,Tr,22,Tr,0,0,0.01,Tr,Tr,1
1140,Mono- Poly-,"Cooked (whole or sliced), drained",1 cup,210,88,92,3,Tr,0.1,0.1,0.2,0,21,2.9,46,0.5,349,6,0,0,0.09,0.05,0.3,11
1141,Mono- Poly-,,1 medium,94,88,41,1,Tr,Tr,Tr,0.1,0,10,1.3,21,0.2,156,3,0,0,0.04,0.02,0.2,5
1142,Mono- Poly-,Dehydrated flakes,1 tbsp,5,4,17,Tr,Tr,Tr,Tr,Tr,0,4,0.5,13,0.1,81,1,0,0,0.03,0.01,Tr,4
1143,"Onions, spring, raw, top and",Chopped,1 cup,100,90,32,2,Tr,Tr,Tr,0.1,0,7,2.6,72,1.5,276,16,385,39,0.06,0.08,0.5,19
1144,"Onions, spring, raw, top and",Whole,"medium, 4"" long 1 whole",15,90,5,Tr,Tr,Tr,Tr,Tr,0,1,0.4,11,0.2,41,2,58,6,0.01,0.01,0.1,3
1145,"Onions, spring, raw, top and","Onion rings, 2""-3"" dia, breaded, par fried, frozen, oven heated",10 rings,60,29,244,3,16,5.2,6.5,3.1,0,23,0.8,19,1.0,77,225,135,14,0.17,0.08,2.2,1
1146,"Onions, spring, raw, top and","Parsley, raw",10 sprigs,10,88,4,Tr,Tr,Tr,Tr,Tr,0,1,0.3,14,0.6,55,6,520,52,0.01,0.01,0.1,13
1147,"Onions, spring, raw, top and","Parsnips, sliced, cooked, drained",1 cup,156,78,126,2,Tr,0.1,0.2,0.1,0,30,6.2,58,0.9,573,16,0,0,0.13,0.08,1.1,20
1148,"Onions, spring, raw, top and",From raw,1 cup,160,89,67,5,Tr,0.1,Tr,0.2,0,11,4.5,67,3.2,384,6,210,21,0.20,0.12,0.9,77
1149,"Onions, spring, raw, top and",From frozen,1 cup,160,87,83,6,1,0.1,0.1,0.3,0,14,5.0,94,3.8,347,8,267,27,0.10,0.19,0.9,35
1150,"Peas, green","Canned, drained",1 cup,170,82,117,8,1,0.1,0.1,0.3,0,21,7.0,34,1.6,294,428,1306,131,0.21,0.13,1.2,16
1151,"Peas, green","Frozen, boiled, drained",1 cup,160,80,125,8,Tr,0.1,Tr,0.2,0,23,8.8,38,2.5,269,139,1069,107,0.45,0.16,2.4,16
1152,"Hot chili, raw",Green,1 pepper,45,88,18,1,Tr,Tr,Tr,Tr,0,4,0.7,8,0.5,153,3,347,35,0.04,0.04,0.4,109
1153,"Hot chili, raw",Red,1 pepper,45,88,18,1,Tr,Tr,Tr,Tr,0,4,0.7,8,0.5,153,3,4838,484,0.04,0.04,0.4,109
1154,"Hot chili, raw","Jalapeno, canned, sliced, solids and liquids",cup,26,89,7,Tr,Tr,Tr,Tr,0.1,0,1,0.7,6,0.5,50,434,442,44,0.01,0.01,0.1,3
1155,Green,Chopped,1 cup,149,92,40,1,Tr,Tr,Tr,0.2,0,10,2.7,13,0.7,264,3,942,94,0.10,0.04,0.8,133
1156,Green,"Ring ("" thick)",1 ring,10,92,3,Tr,Tr,Tr,Tr,Tr,0,1,0.2,1,Tr,18,Tr,63,6,0.01,Tr,0.1,9
1157,Green,"Whole (2"" x 2"")",1 pepper,119,92,32,1,Tr,Tr,Tr,0.1,0,8,2.1,11,0.5,211,2,752,75,0.08,0.04,0.6,106
1158,Red,Chopped,1 cup,149,92,40,1,Tr,Tr,Tr,0.2,0,10,3.0,13,0.7,264,3,8493,849,0.10,0.04,0.8,283
1159,Red,"Whole (2"" x 2"")",1 pepper,119,92,32,1,Tr,Tr,Tr,0.1,0,8,2.4,11,0.5,211,2,6783,678,0.08,0.04,0.6,226
1160,"Cooked, drained, chopped",Green,1 cup,136,92,38,1,Tr,Tr,Tr,0.1,0,9,1.6,12,0.6,226,3,805,80,0.08,0.04,0.6,101
1161,"Cooked, drained, chopped",Red,1 cup,136,92,38,1,Tr,Tr,Tr,0.1,0,9,1.6,12,0.6,226,3,5114,511,0.08,0.04,0.6,233
1162,"Cooked, drained, chopped","Pimento, canned",1 tbsp,12,93,3,Tr,Tr,Tr,Tr,Tr,0,1,0.2,1,0.2,19,2,319,32,Tr,0.01,0.1,10
1163,Potatoes,With skin,1 potato,202,71,220,5,Tr,0.1,Tr,0.1,0,51,4.8,20,2.7,844,16,0,0,0.22,0.07,3.3,26
1164,Potatoes,Flesh only,1 potato,156,75,145,3,Tr,Tr,Tr,0.1,0,34,2.3,8,0.5,610,8,0,0,0.16,0.03,2.2,20
1165,Potatoes,Skin only 1 skin,,58,47,115,2,Tr,Tr,Tr,Tr,0,27,4.6,20,4.1,332,12,0,0,0.07,0.06,1.8,8
1166,Potatoes,Peeled after boiling,1 potato,136,77,118,3,Tr,Tr,Tr,0.1,0,27,2.4,7,0.4,515,5,0,0,0.14,0.03,2.0,18
1167,Potatoes,Peeled before boiling,1 potato,135,77,116,2,Tr,Tr,Tr,0.1,0,27,2.4,11,0.4,443,7,0,0,0.13,0.03,1.8,10
1168,Potatoes,,1 cup,156,77,134,3,Tr,Tr,Tr,0.1,,,,,,,,,,,,,
1169,Au gratin,"From dry mix, with whole milk, butter",1 cup,245,79,228,6,10,6.3,2.9,0.3,37,31,2.2,203,0.8,537,1076,522,76,0.05,0.20,2.3,8
1170,Au gratin,"From home recipe, with butter",1 cup,245,74,323,12,19,11.6,5.3,0.7,56,28,4.4,292,1.6,970,1061,647,93,0.16,0.28,2.4,24
1171,Au gratin,"French fried, frozen, oven heated 10 strips",,50,57,100,2,4,0.6,2.4,0.4,0,16,1.6,4,0.6,209,15,0,0,0.06,0.01,1.0,5
1172,Hashed brown,"From frozen (about 3"" x 1"" x"")",1 patty,29,56,63,1,3,1.3,1.5,0.4,0,8,0.6,4,0.4,126,10,0,0,0.03,0.01,0.7,2
1173,Hashed brown,From home recipe,1 cup,156,62,326,4,22,8.5,9.7,2.5,0,33,3.1,12,1.3,501,37,0,0,0.12,0.03,3.1,9
1174,Mashed,"From dehydrated flakes (without milk); whole milk, butter, and salt added",1 cup,210,76,237,4,12,7.2,3.3,0.5,29,32,4.8,103,0.5,489,697,378,44,0.23,0.11,1.4,20
1175,From home recipe,With whole milk,1 cup,210,78,162,4,1,0.7,0.3,0.1,4,37,4.2,55,0.6,628,636,40,13,0.18,0.08,2.3,14
1176,From home recipe,With whole milk and margarine,1 cup,210,76,223,4,9,2.2,3.7,2.5,4,35,4.2,55,0.5,607,620,355,42,0.18,0.08,2.3,13
1177,From home recipe,"Potato pancakes, home prepared",1 pancake,76,47,207,5,12,2.3,3.5,5.0,73,22,1.5,18,1.2,597,386,109,11,0.10,0.13,1.6,17
1178,From home recipe,,"Potato puffs, from frozen 10 puffs",79,53,175,3,8,4.0,3.4,0.6,0,24,2.5,24,1.2,300,589,13,2,0.15,0.06,1.7,5
1179,From home recipe,"Potato salad, home prepared",1 cup,250,76,358,7,21,3.6,6.2,9.3,170,28,3.3,48,1.6,635,1323,523,83,0.19,0.15,2.2,25
1180,Scalloped,"From dry mix, with whole milk, butter",1 cup,245,79,228,5,11,6.5,3.0,0.5,27,31,2.7,88,0.9,497,835,363,51,0.05,0.14,2.5,8
1181,Scalloped,"From home recipe, with butter",1 cup,245,81,211,7,9,5.5,2.5,0.4,29,26,4.7,140,1.4,926,821,331,47,0.17,0.23,2.6,26
1182,Pumpkin,"Cooked, mashed",1 cup,245,94,49,2,Tr,0.1,Tr,Tr,0,12,2.7,37,1.4,564,2,2651,265,0.08,0.19,1.0,12
1183,Pumpkin,Canned,1 cup,245,90,83,3,1,0.4,0.1,Tr,0,20,7.1,64,3.4,505,12,54037,5405,0.06,0.13,0.9,10
1184,Pumpkin,"Radishes, raw ("" to 1"" dia)",1 radish,5,95,1,Tr,Tr,Tr,Tr,Tr,0,Tr,0.1,1,Tr,10,1,Tr,Tr,Tr,Tr,Tr,1
1185,Pumpkin,"Rutabagas, cooked, drained, cubes",1 cup,170,89,66,2,Tr,Tr,Tr,0.2,0,15,3.1,82,0.9,554,34,954,95,0.14,0.07,1.2,32
1186,Pumpkin,"Sauerkraut, canned, solids and liquid",1 cup,236,93,45,2,Tr,0.1,Tr,0.1,0,10,5.9,71,3.5,401,1560,42,5,0.05,0.05,0.3,35
1187,Seaweed,"Kelp, raw",2 tbsp,10,82,4,Tr,Tr,Tr,Tr,Tr,0,1,0.1,17,0.3,9,23,12,1,0.01,0.02,Tr,Tr
1188,Seaweed,"Spirulina, dried",1 tbsp,1,5,3,1,Tr,Tr,Tr,Tr,0,Tr,Tr,1,0.3,14,10,6,1,0.02,0.04,0.1,Tr
1189,Seaweed,"Shallots, raw, chopped",1 tbsp,10,80,7,Tr,Tr,Tr,Tr,Tr,0,2,0.2,4,0.1,33,1,119,12,0.01,Tr,Tr,1
1190,Seaweed,"Soybeans, green, cooked, drained",1 cup,180,69,254,22,12,1.3,2.2,5.4,0,20,7.6,261,4.5,970,25,281,29,0.47,0.28,2.3,31
1191,Raw,Chopped,1 cup,30,92,7,1,Tr,Tr,Tr,Tr,0,1,0.8,30,0.8,167,24,2015,202,0.02,0.06,0.2,8
1192,Raw,Leaf,1 leaf,10,92,2,Tr,Tr,Tr,Tr,Tr,0,Tr,0.3,10,0.3,56,8,672,67,0.01,0.02,0.1,3
1193,"Cooked, drained",From raw,1 cup,180,91,41,5,Tr,0.1,Tr,0.2,0,7,4.3,245,6.4,839,126,14742,1474,0.17,0.42,0.9,18
1194,"Cooked, drained",From frozen (chopped or leaf),1 cup,190,90,53,6,Tr,0.1,Tr,0.2,0,10,5.7,277,2.9,566,163,14790,1478,0.11,0.32,0.8,23
1195,"Cooked, drained","Canned, drained",1 cup,214,92,49,6,1,0.2,Tr,0.4,0,7,5.1,272,4.9,740,58,18781,1879,0.03,0.30,0.8,31
1196,"Summer (all varieties),",Raw,1 cup,113,94,23,1,Tr,Tr,Tr,0.1,0,5,2.1,23,0.5,220,2,221,23,0.07,0.04,0.6,17
1197,"Summer (all varieties),","Cooked, drained",1 cup,180,94,36,2,1,0.1,Tr,0.2,0,8,2.5,49,0.6,346,2,517,52,0.08,0.07,0.9,10
1198,"Summer (all varieties),","Winter (all varieties), baked, cubes",1 cup,205,89,80,2,1,0.3,0.1,0.5,0,18,5.7,29,0.7,896,2,7292,730,0.17,0.05,1.4,20
1199,"Summer (all varieties),","Winter, butternut, frozen, cooked, mashed",1 cup,240,88,94,3,Tr,Tr,Tr,0.1,0,24,2.2,46,1.4,319,5,8014,802,0.12,0.09,1.1,8
1200,Sweetpotatoes,"Baked, with skin",1 potato,146,73,150,3,Tr,Tr,Tr,0.1,0,35,4.4,41,0.7,508,15,31860,3186,0.11,0.19,0.9,36
1201,Sweetpotatoes,"Boiled, without skin",1 potato,156,73,164,3,Tr,0.1,Tr,0.2,0,38,2.8,33,0.9,287,20,26604,2660,0.08,0.22,1.0,27
1202,Mono- Poly-,"Candied (2"" x 2"" piece)",1 piece,105,67,144,1,3,1.4,0.7,0.2,8,29,2.5,27,1.2,198,74,4398,440,0.02,0.04,0.4,7
1203,Canned,"Syrup pack, drained",1 cup,196,72,212,3,1,0.1,Tr,0.3,0,50,5.9,33,1.9,378,76,14028,1403,0.05,0.07,0.7,21
1204,Canned,"Vacuum pack, mashed",1 cup,255,76,232,4,1,0.1,Tr,0.2,0,54,4.6,56,2.3,796,135,20357,2035,0.09,0.15,1.9,67
1205,Canned,"Tomatillos, raw",1 medium,34,92,11,Tr,Tr,Tr,0.1,0.1,0,2,0.6,2,0.2,91,Tr,39,4,0.01,0.01,0.6,4
1206,"Raw, year round average",Chopped or sliced,1 cup,180,94,38,2,1,0.1,0.1,0.2,0,8,2.0,9,0.8,400,16,1121,112,0.11,0.09,1.1,34
1207,"Raw, year round average","Slice, medium,"" thick",1 slice,20,94,4,Tr,Tr,Tr,Tr,Tr,0,1,0.2,1,0.1,44,2,125,12,0.01,0.01,0.1,4
1208,Whole,Cherry,1 cherry,17,94,4,Tr,Tr,Tr,Tr,Tr,0,1,0.2,1,0.1,38,2,106,11,0.01,0.01,0.1,3
1209,Whole,"Medium, 2"" dia",1 tomato,123,94,26,1,Tr,0.1,0.1,0.2,0,6,1.4,6,0.6,273,11,766,76,0.07,0.06,0.8,23
1210,Whole,"Canned, solids and liquid",1 cup,240,94,46,2,Tr,Tr,Tr,0.1,0,10,2.4,72,1.3,530,355,1428,144,0.11,0.07,1.8,34
1211,Sun dried,Plain,1 piece,2,15,5,Tr,Tr,Tr,Tr,Tr,0,1,0.2,2,0.2,69,42,17,2,0.01,0.01,0.2,1
1212,Sun dried,"Packed in oil, drained",1 piece,3,54,6,Tr,Tr,0.1,0.3,0.1,0,1,0.2,1,0.1,47,8,39,4,0.01,0.01,0.1,3
1213,Sun dried,"Tomato juice, canned, with salt added",1 cup,243,94,41,2,Tr,Tr,Tr,0.1,0,10,1.0,22,1.4,535,877,1351,136,0.11,0.08,1.6,44
1214,"Tomato products, canned",Paste,1 cup,262,74,215,10,1,0.2,0.2,0.6,0,51,10.7,92,5.1,2455,231,6406,639,0.41,0.50,8.4,111
1215,"Tomato products, canned",Puree,1 cup,250,87,100,4,Tr,0.1,0.1,0.2,0,24,5.0,43,3.1,1065,85,3188,320,0.18,0.14,4.3,26
1216,"Tomato products, canned",Sauce,1 cup,245,89,74,3,Tr,0.1,0.1,0.2,0,18,3.4,34,1.9,909,1482,2399,240,0.16,0.14,2.8,32
1217,Spaghetti/marinara/pasta,Stewed,1 cup,255,91,71,2,Tr,Tr,0.1,0.1,0,17,2.6,84,1.9,607,564,1380,138,0.12,0.09,1.8,29
1218,Spaghetti/marinara/pasta,"Turnips, cooked, cubes",1 cup,156,94,33,1,Tr,Tr,Tr,0.1,0,8,3.1,34,0.3,211,78,0,0,0.04,0.04,0.5,18
1219,"Turnip greens, cooked, drained",From raw (leaves and stems),1 cup,144,93,29,2,Tr,0.1,Tr,0.1,0,6,5.0,197,1.2,292,42,7917,792,0.06,0.10,0.6,39
1220,"Turnip greens, cooked, drained",From frozen (chopped),1 cup,164,90,49,5,1,0.2,Tr,0.3,0,8,5.6,249,3.2,367,25,13079,1309,0.09,0.12,0.8,36
1221,"Turnip greens, cooked, drained","Vegetable juice cocktail, canned",1 cup,242,94,46,2,Tr,Tr,Tr,0.1,0,11,1.9,27,1.0,467,653,2831,283,0.10,0.07,1.8,67
1222,"Vegetables, mixed","Canned, drained",1 cup,163,87,77,4,Tr,0.1,Tr,0.2,0,15,4.9,44,1.7,474,243,18985,1899,0.07,0.08,0.9,8
1223,"Vegetables, mixed","Frozen, cooked, drained",1 cup,182,83,107,5,Tr,0.1,Tr,0.1,0,24,8.0,46,1.5,308,64,7784,779,0.13,0.22,1.5,6
1224,,,,,,,,,,,,0,17,3.5,6,1.2,165,11,6,0,0.02,0.03,0.5,2
1225,Miscellaneous Items,"Bacon bits, meatless",1 tbsp,7,8,31,2,2,0.3,0.4,0.9,0,2,0.7,7,0.1,10,124,0,0,0.04,Tr,0.1,Tr
1226,Double acting,Sodium aluminum sulfate,1 tsp,5,5,2,0,0,0.0,0.0,0.0,0,1,Tr,270,0.5,1,488,0,0,0.00,0.00,0.0,0
1227,Double acting,Straight phosphate,1 tsp,5,4,2,Tr,0,0.0,0.0,0.0,0,1,Tr,339,0.5,Tr,363,0,0,0.00,0.00,0.0,0
1228,Double acting,Low sodium,1 tsp,5,6,5,Tr,Tr,Tr,Tr,Tr,0,2,0.1,217,0.4,505,5,0,0,0.00,0.00,0.0,0
1229,Double acting,Baking soda,1 tsp,5,Tr,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,1259,0,0,0.00,0.00,0.0,0
1230,Double acting,Beef jerky,1 large piece,20,23,81,7,5,2.1,2.2,0.2,10,2,0.4,4,1.1,118,438,0,0,0.03,0.03,0.3,0
1231,Double acting,Catsup,1 cup,240,67,250,4,1,0.1,0.1,0.4,0,65,3.1,46,1.7,1154,2846,2438,245,0.21,0.18,3.3,36
1232,Double acting,,1 tbsp,15,67,16,Tr,Tr,Tr,Tr,Tr,0,4,0.2,3,0.1,72,178,152,15,0.01,0.01,0.2,2
1233,Double acting,,1 packet,6,67,6,Tr,Tr,Tr,Tr,Tr,0,2,0.1,1,Tr,29,71,61,6,0.01,Tr,0.1,1
1234,Double acting,Celery seed,1 tsp,2,6,8,Tr,1,Tr,0.3,0.1,0,1,0.2,35,0.9,28,3,1,Tr,0.01,0.01,0.1,Tr
1235,Double acting,Chili powder,1 tsp,3,8,8,Tr,Tr,0.1,0.1,0.2,0,1,0.9,7,0.4,50,26,908,91,0.01,0.02,0.2,2
1236,"Chocolate, unsweetened, baking",Solid,1 square,28,1,148,3,16,9.2,5.2,0.5,0,8,4.4,21,1.8,236,4,28,3,0.02,0.05,0.3,0
1237,"Chocolate, unsweetened, baking",Liquid,1 oz,28,1,134,3,14,7.2,2.6,3.0,0,10,5.1,15,1.2,331,3,3,Tr,0.01,0.08,0.6,0
1238,Mono- Poly-,Cinnamon,1 tsp,2,10,6,Tr,Tr,Tr,Tr,Tr,0,2,1.2,28,0.9,11,1,6,1,Tr,Tr,Tr,1
1239,Mono- Poly-,"Cocoa powder, unsweetened",1 cup,86,3,197,17,12,6.9,3.9,0.4,0,47,28.6,110,11.9,1311,18,17,2,0.07,0.21,1.9,0
1240,Mono- Poly-,,1 tbsp,5,3,12,1,1,0.4,0.2,Tr,0,3,1.8,7,0.7,82,1,1,Tr,Tr,0.01,0.1,0
1241,Mono- Poly-,Cream of tartar,1 tsp,3,2,8,0,0,0.0,0.0,0.0,0,2,Tr,Tr,0.1,495,2,0,0,0.00,0.00,0.0,0
1242,Mono- Poly-,Curry powder,1 tsp,2,10,7,Tr,Tr,Tr,0.1,0.1,0,1,0.7,10,0.6,31,1,20,2,0.01,0.01,0.1,Tr
1243,Mono- Poly-,Garlic powder,1 tsp,3,6,9,Tr,Tr,Tr,Tr,Tr,0,2,0.3,2,0.1,31,1,0,0,0.01,Tr,Tr,1
1244,Mono- Poly-,"Horseradish, prepared",1 tsp,5,85,2,Tr,Tr,Tr,Tr,Tr,0,1,0.2,3,Tr,12,16,Tr,0,Tr,Tr,Tr,1
1245,Mono- Poly-,"Mustard, prepared, yellow",1 tsp or 1 packet,5,82,3,Tr,Tr,Tr,0.1,Tr,0,Tr,0.2,4,0.1,8,56,7,1,Tr,Tr,Tr,Tr
1246,"Olives, canned","Pickled, green",5 medium,17,78,20,Tr,2,0.3,1.6,0.2,0,Tr,0.2,10,0.3,9,408,51,5,0.00,0.00,Tr,0
1247,"Olives, canned","Ripe, black",5 large,22,80,25,Tr,2,0.3,1.7,0.2,0,1,0.7,19,0.7,2,192,89,9,Tr,0.00,Tr,Tr
1248,"Olives, canned",Onion powder,1 tsp,2,5,7,Tr,Tr,Tr,Tr,Tr,0,2,0.1,8,0.1,20,1,0,0,0.01,Tr,Tr,Tr
1249,"Olives, canned","Oregano, ground",1 tsp,2,7,5,Tr,Tr,Tr,Tr,0.1,0,1,0.6,24,0.7,25,Tr,104,10,0.01,Tr,0.1,1
1250,"Olives, canned",Paprika,1 tsp,2,10,6,Tr,Tr,Tr,Tr,0.2,0,1,0.4,4,0.5,49,1,1273,127,0.01,0.04,0.3,1
1251,"Olives, canned","Parsley, dried",1 tbsp,1,9,4,Tr,Tr,Tr,Tr,Tr,0,1,0.4,19,1.3,49,6,303,30,Tr,0.02,0.1,2
1252,"Olives, canned","Pepper, black",1 tsp,2,11,5,Tr,Tr,Tr,Tr,Tr,0,1,0.6,9,0.6,26,1,4,Tr,Tr,0.01,Tr,Tr
1253,"Pickles, cucumber","Dill, whole, medium (3"" long)",1 pickle,65,92,12,Tr,Tr,Tr,Tr,0.1,0,3,0.8,6,0.3,75,833,214,21,0.01,0.02,Tr,1
1254,"Pickles, cucumber","Fresh (bread and butter pickles), slices 1"" dia,"" thick",3 slices,24,79,18,Tr,Tr,Tr,Tr,Tr,0,4,0.4,8,0.1,48,162,34,3,0.00,0.01,0.0,2
1255,"Pickles, cucumber","Pickle relish, sweet",1 tbsp,15,62,20,Tr,Tr,Tr,Tr,Tr,0,5,0.2,Tr,0.1,4,122,23,2,0.00,Tr,Tr,Tr
1256,"Pickles, cucumber","Pork skins/rinds, plain",1 oz,28,2,155,17,9,3.2,4.2,1.0,27,0,0.0,9,0.2,36,521,37,11,0.03,0.08,0.4,Tr
1257,Plain,Salted,1 oz,28,2,152,2,10,3.1,2.8,3.5,0,15,1.3,7,0.5,361,168,0,0,0.05,0.06,1.1,9
1258,Plain,Unsalted,1 oz,28,2,152,2,10,3.1,2.8,3.5,0,15,1.4,7,0.5,361,2,0,0,0.05,0.06,1.1,9
1259,Plain,Barbecue flavor,1 oz,28,2,139,2,9,2.3,1.9,4.6,0,15,1.2,14,0.5,357,213,62,6,0.06,0.06,1.3,10
1260,Plain,Sour cream and onion flavor,1 oz,28,2,151,2,10,2.5,1.7,4.9,2,15,1.5,20,0.5,377,177,48,6,0.05,0.06,1.1,11
1261,Plain,Reduced fat,1 oz,28,1,134,2,6,1.2,1.4,3.1,0,19,1.7,6,0.4,494,139,0,0,0.06,0.08,2.0,7
1262,Plain,"Fat free, made with olestra",1 oz,28,2,75,2,Tr,Tr,0.1,0.1,0,17,1.1,10,0.4,366,185,1469,441,0.10,0.02,1.3,8
1263,Made from dried potatoes,Plain,1 oz,28,1,158,2,11,2.7,2.1,5.7,0,14,1.0,7,0.4,286,186,0,0,0.06,0.03,0.9,2
1264,Made from dried potatoes,Sour cream and onion flavor,1 oz,28,2,155,2,10,2.7,2.0,5.3,1,15,0.3,18,0.4,141,204,214,28,0.05,0.03,0.7,3
1265,Made from dried potatoes,Reduced fat,1 oz,28,1,142,2,7,1.5,1.7,3.8,0,18,1.0,10,0.4,285,121,0,0,0.05,0.02,1.2,3
1266,Made from dried potatoes,Salt,1 tsp,6,Tr,0,0,0,0.0,0.0,0.0,0,0,0.0,1,Tr,Tr,2325,0,0,0.00,0.00,0.0,0
1267,Trail mix,"Regular, with raisins, chocolate chips, salted nuts and seeds",1 cup,146,7,707,21,47,8.9,19.8,16.5,6,66,8.8,159,4.9,946,177,64,7,0.60,0.33,6.4,2
1268,Trail mix,Tropical,1 cup,140,9,570,9,24,11.9,3.5,7.2,0,92,10.6,80,3.7,993,14,69,7,0.63,0.16,2.1,11
1269,Trail mix,Vanilla extract,1 tsp,4,53,12,Tr,Tr,Tr,Tr,Tr,0,1,0.0,Tr,Tr,6,Tr,0,0,Tr,Tr,Tr,0
1270,Vinegar,Cider,1 tbsp,15,94,2,0,0,0.0,0.0,0.0,0,1,0.0,1,0.1,15,Tr,0,0,0.00,0.00,0.0,0
1271,Vinegar,Distilled,1 tbsp,17,95,2,0,0,0.0,0.0,0.0,0,1,0.0,0,0.0,2,Tr,0,0,0.00,0.00,0.0,0
1272,Vinegar,"Dry, active",1 pkg,7,8,21,3,Tr,Tr,0.2,Tr,0,3,1.5,4,1.2,140,4,Tr,0,0.17,0.38,2.8,Tr
1273,Vinegar,,1 tsp,4,8,12,2,Tr,Tr,0.1,Tr,0,2,0.8,3,0.7,80,2,Tr,0,0.09,0.22,1.6,Tr
1274,Vinegar,Compressed,1 cake,17,69,18,1,Tr,Tr,0.2,Tr,0,3,1.4,3,0.6,102,5,0,0,0.32,0.19,2.1,Tr
2268,,,,,,,,,,,,0,31,2.8,12,0.5,512,8,0,0,0.15,0.03,2.0,12
